Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-06
Horizontal Delay,0
Sample Interval,2e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-5
,
,
,
Label,
TIME,CH1
-9.2040e-06,0.382
-9.2020e-06,0.384
-9.2000e-06,0.38
-9.1980e-06,0.38
-9.1960e-06,0.38
-9.1940e-06,0.38
-9.1920e-06,0.38
-9.1900e-06,0.378
-9.1880e-06,0.378
-9.1860e-06,0.378
-9.1840e-06,0.378
-9.1820e-06,0.378
-9.1800e-06,0.374
-9.1780e-06,0.374
-9.1760e-06,0.376
-9.1740e-06,0.374
-9.1720e-06,0.374
-9.1700e-06,0.372
-9.1680e-06,0.372
-9.1660e-06,0.37
-9.1640e-06,0.37
-9.1620e-06,0.37
-9.1600e-06,0.368
-9.1580e-06,0.37
-9.1560e-06,0.368
-9.1540e-06,0.368
-9.1520e-06,0.368
-9.1500e-06,0.366
-9.1480e-06,0.366
-9.1460e-06,0.364
-9.1440e-06,0.364
-9.1420e-06,0.364
-9.1400e-06,0.364
-9.1380e-06,0.364
-9.1360e-06,0.362
-9.1340e-06,0.36
-9.1320e-06,0.362
-9.1300e-06,0.362
-9.1280e-06,0.36
-9.1260e-06,0.36
-9.1240e-06,0.36
-9.1220e-06,0.358
-9.1200e-06,0.356
-9.1180e-06,0.356
-9.1160e-06,0.356
-9.1140e-06,0.354
-9.1120e-06,0.352
-9.1100e-06,0.354
-9.1080e-06,0.35
-9.1060e-06,0.352
-9.1040e-06,0.348
-9.1020e-06,0.346
-9.1000e-06,0.348
-9.0980e-06,0.346
-9.0960e-06,0.344
-9.0940e-06,0.342
-9.0920e-06,0.342
-9.0900e-06,0.34
-9.0880e-06,0.338
-9.0860e-06,0.336
-9.0840e-06,0.336
-9.0820e-06,0.334
-9.0800e-06,0.334
-9.0780e-06,0.33
-9.0760e-06,0.33
-9.0740e-06,0.328
-9.0720e-06,0.326
-9.0700e-06,0.326
-9.0680e-06,0.322
-9.0660e-06,0.322
-9.0640e-06,0.32
-9.0620e-06,0.32
-9.0600e-06,0.318
-9.0580e-06,0.316
-9.0560e-06,0.316
-9.0540e-06,0.314
-9.0520e-06,0.314
-9.0500e-06,0.312
-9.0480e-06,0.31
-9.0460e-06,0.308
-9.0440e-06,0.308
-9.0420e-06,0.308
-9.0400e-06,0.308
-9.0380e-06,0.306
-9.0360e-06,0.304
-9.0340e-06,0.304
-9.0320e-06,0.304
-9.0300e-06,0.3
-9.0280e-06,0.3
-9.0260e-06,0.3
-9.0240e-06,0.3
-9.0220e-06,0.298
-9.0200e-06,0.298
-9.0180e-06,0.298
-9.0160e-06,0.294
-9.0140e-06,0.296
-9.0120e-06,0.294
-9.0100e-06,0.292
-9.0080e-06,0.292
-9.0060e-06,0.292
-9.0040e-06,0.292
-9.0020e-06,0.29
-9.0000e-06,0.29
-8.9980e-06,0.288
-8.9960e-06,0.29
-8.9940e-06,0.288
-8.9920e-06,0.286
-8.9900e-06,0.286
-8.9880e-06,0.286
-8.9860e-06,0.286
-8.9840e-06,0.286
-8.9820e-06,0.282
-8.9800e-06,0.282
-8.9780e-06,0.282
-8.9760e-06,0.28
-8.9740e-06,0.282
-8.9720e-06,0.282
-8.9700e-06,0.28
-8.9680e-06,0.28
-8.9660e-06,0.28
-8.9640e-06,0.276
-8.9620e-06,0.28
-8.9600e-06,0.276
-8.9580e-06,0.278
-8.9560e-06,0.276
-8.9540e-06,0.276
-8.9520e-06,0.276
-8.9500e-06,0.276
-8.9480e-06,0.276
-8.9460e-06,0.274
-8.9440e-06,0.274
-8.9420e-06,0.272
-8.9400e-06,0.274
-8.9380e-06,0.274
-8.9360e-06,0.272
-8.9340e-06,0.272
-8.9320e-06,0.272
-8.9300e-06,0.272
-8.9280e-06,0.274
-8.9260e-06,0.272
-8.9240e-06,0.272
-8.9220e-06,0.27
-8.9200e-06,0.27
-8.9180e-06,0.272
-8.9160e-06,0.268
-8.9140e-06,0.27
-8.9120e-06,0.27
-8.9100e-06,0.27
-8.9080e-06,0.27
-8.9060e-06,0.27
-8.9040e-06,0.27
-8.9020e-06,0.27
-8.9000e-06,0.27
-8.8980e-06,0.268
-8.8960e-06,0.27
-8.8940e-06,0.27
-8.8920e-06,0.27
-8.8900e-06,0.27
-8.8880e-06,0.27
-8.8860e-06,0.27
-8.8840e-06,0.272
-8.8820e-06,0.272
-8.8800e-06,0.27
-8.8780e-06,0.272
-8.8760e-06,0.272
-8.8740e-06,0.272
-8.8720e-06,0.272
-8.8700e-06,0.274
-8.8680e-06,0.274
-8.8660e-06,0.274
-8.8640e-06,0.276
-8.8620e-06,0.278
-8.8600e-06,0.278
-8.8580e-06,0.276
-8.8560e-06,0.278
-8.8540e-06,0.278
-8.8520e-06,0.28
-8.8500e-06,0.28
-8.8480e-06,0.28
-8.8460e-06,0.282
-8.8440e-06,0.282
-8.8420e-06,0.284
-8.8400e-06,0.284
-8.8380e-06,0.284
-8.8360e-06,0.284
-8.8340e-06,0.286
-8.8320e-06,0.284
-8.8300e-06,0.286
-8.8280e-06,0.288
-8.8260e-06,0.29
-8.8240e-06,0.29
-8.8220e-06,0.29
-8.8200e-06,0.292
-8.8180e-06,0.292
-8.8160e-06,0.292
-8.8140e-06,0.294
-8.8120e-06,0.294
-8.8100e-06,0.296
-8.8080e-06,0.296
-8.8060e-06,0.296
-8.8040e-06,0.298
-8.8020e-06,0.298
-8.8000e-06,0.3
-8.7980e-06,0.3
-8.7960e-06,0.302
-8.7940e-06,0.304
-8.7920e-06,0.302
-8.7900e-06,0.306
-8.7880e-06,0.306
-8.7860e-06,0.306
-8.7840e-06,0.308
-8.7820e-06,0.31
-8.7800e-06,0.31
-8.7780e-06,0.312
-8.7760e-06,0.312
-8.7740e-06,0.314
-8.7720e-06,0.312
-8.7700e-06,0.316
-8.7680e-06,0.318
-8.7660e-06,0.318
-8.7640e-06,0.32
-8.7620e-06,0.322
-8.7600e-06,0.324
-8.7580e-06,0.322
-8.7560e-06,0.324
-8.7540e-06,0.326
-8.7520e-06,0.328
-8.7500e-06,0.328
-8.7480e-06,0.33
-8.7460e-06,0.332
-8.7440e-06,0.334
-8.7420e-06,0.334
-8.7400e-06,0.336
-8.7380e-06,0.34
-8.7360e-06,0.34
-8.7340e-06,0.342
-8.7320e-06,0.342
-8.7300e-06,0.344
-8.7280e-06,0.346
-8.7260e-06,0.346
-8.7240e-06,0.348
-8.7220e-06,0.35
-8.7200e-06,0.35
-8.7180e-06,0.35
-8.7160e-06,0.352
-8.7140e-06,0.354
-8.7120e-06,0.354
-8.7100e-06,0.358
-8.7080e-06,0.358
-8.7060e-06,0.358
-8.7040e-06,0.36
-8.7020e-06,0.36
-8.7000e-06,0.36
-8.6980e-06,0.36
-8.6960e-06,0.362
-8.6940e-06,0.362
-8.6920e-06,0.362
-8.6900e-06,0.364
-8.6880e-06,0.364
-8.6860e-06,0.364
-8.6840e-06,0.366
-8.6820e-06,0.364
-8.6800e-06,0.366
-8.6780e-06,0.364
-8.6760e-06,0.364
-8.6740e-06,0.366
-8.6720e-06,0.366
-8.6700e-06,0.366
-8.6680e-06,0.366
-8.6660e-06,0.366
-8.6640e-06,0.366
-8.6620e-06,0.366
-8.6600e-06,0.366
-8.6580e-06,0.368
-8.6560e-06,0.366
-8.6540e-06,0.368
-8.6520e-06,0.37
-8.6500e-06,0.37
-8.6480e-06,0.37
-8.6460e-06,0.372
-8.6440e-06,0.372
-8.6420e-06,0.372
-8.6400e-06,0.372
-8.6380e-06,0.372
-8.6360e-06,0.372
-8.6340e-06,0.374
-8.6320e-06,0.372
-8.6300e-06,0.374
-8.6280e-06,0.374
-8.6260e-06,0.374
-8.6240e-06,0.376
-8.6220e-06,0.376
-8.6200e-06,0.378
-8.6180e-06,0.378
-8.6160e-06,0.378
-8.6140e-06,0.378
-8.6120e-06,0.38
-8.6100e-06,0.38
-8.6080e-06,0.38
-8.6060e-06,0.38
-8.6040e-06,0.378
-8.6020e-06,0.38
-8.6000e-06,0.38
-8.5980e-06,0.38
-8.5960e-06,0.38
-8.5940e-06,0.382
-8.5920e-06,0.38
-8.5900e-06,0.38
-8.5880e-06,0.378
-8.5860e-06,0.38
-8.5840e-06,0.38
-8.5820e-06,0.378
-8.5800e-06,0.378
-8.5780e-06,0.38
-8.5760e-06,0.38
-8.5740e-06,0.378
-8.5720e-06,0.378
-8.5700e-06,0.378
-8.5680e-06,0.378
-8.5660e-06,0.376
-8.5640e-06,0.378
-8.5620e-06,0.376
-8.5600e-06,0.376
-8.5580e-06,0.378
-8.5560e-06,0.376
-8.5540e-06,0.376
-8.5520e-06,0.374
-8.5500e-06,0.374
-8.5480e-06,0.374
-8.5460e-06,0.374
-8.5440e-06,0.374
-8.5420e-06,0.374
-8.5400e-06,0.374
-8.5380e-06,0.372
-8.5360e-06,0.372
