Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-06
Horizontal Delay,0
Sample Interval,2e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-9.7360e-06,0.24
-9.7340e-06,0.232
-9.7320e-06,0.224
-9.7300e-06,0.224
-9.7280e-06,0.216
-9.7260e-06,0.224
-9.7240e-06,0.208
-9.7220e-06,0.2
-9.7200e-06,0.192
-9.7180e-06,0.192
-9.7160e-06,0.176
-9.7140e-06,0.168
-9.7120e-06,0.168
-9.7100e-06,0.168
-9.7080e-06,0.16
-9.7060e-06,0.152
-9.7040e-06,0.144
-9.7020e-06,0.144
-9.7000e-06,0.128
-9.6980e-06,0.12
-9.6960e-06,0.12
-9.6940e-06,0.112
-9.6920e-06,0.12
-9.6900e-06,0.112
-9.6880e-06,0.096
-9.6860e-06,0.096
-9.6840e-06,0.096
-9.6820e-06,0.088
-9.6800e-06,0.08
-9.6780e-06,0.072
-9.6760e-06,0.08
-9.6740e-06,0.08
-9.6720e-06,0.064
-9.6700e-06,0.064
-9.6680e-06,0.056
-9.6660e-06,0.056
-9.6640e-06,0.048
-9.6620e-06,0.048
-9.6600e-06,0.048
-9.6580e-06,0.048
-9.6560e-06,0.048
-9.6540e-06,0.048
-9.6520e-06,0.04
-9.6500e-06,0.04
-9.6480e-06,0.032
-9.6460e-06,0.04
-9.6440e-06,0.032
-9.6420e-06,0.024
-9.6400e-06,0.024
-9.6380e-06,0.032
-9.6360e-06,0.032
-9.6340e-06,0.024
-9.6320e-06,0.016
-9.6300e-06,0.032
-9.6280e-06,0.032
-9.6260e-06,0.032
-9.6240e-06,0.032
-9.6220e-06,0.032
-9.6200e-06,0.032
-9.6180e-06,0.032
-9.6160e-06,0.032
-9.6140e-06,0.032
-9.6120e-06,0.04
-9.6100e-06,0.04
-9.6080e-06,0.04
-9.6060e-06,0.04
-9.6040e-06,0.04
-9.6020e-06,0.048
-9.6000e-06,0.048
-9.5980e-06,0.048
-9.5960e-06,0.056
-9.5940e-06,0.048
-9.5920e-06,0.056
-9.5900e-06,0.056
-9.5880e-06,0.064
-9.5860e-06,0.064
-9.5840e-06,0.072
-9.5820e-06,0.072
-9.5800e-06,0.08
-9.5780e-06,0.08
-9.5760e-06,0.088
-9.5740e-06,0.088
-9.5720e-06,0.088
-9.5700e-06,0.096
-9.5680e-06,0.104
-9.5660e-06,0.12
-9.5640e-06,0.112
-9.5620e-06,0.12
-9.5600e-06,0.128
-9.5580e-06,0.136
-9.5560e-06,0.144
-9.5540e-06,0.144
-9.5520e-06,0.152
-9.5500e-06,0.16
-9.5480e-06,0.168
-9.5460e-06,0.176
-9.5440e-06,0.184
-9.5420e-06,0.192
-9.5400e-06,0.192
-9.5380e-06,0.208
-9.5360e-06,0.208
-9.5340e-06,0.232
-9.5320e-06,0.232
-9.5300e-06,0.24
-9.5280e-06,0.248
-9.5260e-06,0.256
-9.5240e-06,0.264
-9.5220e-06,0.272
-9.5200e-06,0.28
-9.5180e-06,0.288
-9.5160e-06,0.304
-9.5140e-06,0.304
-9.5120e-06,0.32
-9.5100e-06,0.32
-9.5080e-06,0.336
-9.5060e-06,0.336
-9.5040e-06,0.344
-9.5020e-06,0.352
-9.5000e-06,0.368
-9.4980e-06,0.376
-9.4960e-06,0.376
-9.4940e-06,0.384
-9.4920e-06,0.392
-9.4900e-06,0.408
-9.4880e-06,0.4
-9.4860e-06,0.408
-9.4840e-06,0.424
-9.4820e-06,0.424
-9.4800e-06,0.432
-9.4780e-06,0.44
-9.4760e-06,0.448
-9.4740e-06,0.448
-9.4720e-06,0.456
-9.4700e-06,0.456
-9.4680e-06,0.472
-9.4660e-06,0.472
-9.4640e-06,0.48
-9.4620e-06,0.488
-9.4600e-06,0.488
-9.4580e-06,0.496
-9.4560e-06,0.496
-9.4540e-06,0.504
-9.4520e-06,0.512
-9.4500e-06,0.512
-9.4480e-06,0.512
-9.4460e-06,0.52
-9.4440e-06,0.528
-9.4420e-06,0.528
-9.4400e-06,0.528
-9.4380e-06,0.536
-9.4360e-06,0.536
-9.4340e-06,0.552
-9.4320e-06,0.552
-9.4300e-06,0.56
-9.4280e-06,0.56
-9.4260e-06,0.568
-9.4240e-06,0.568
-9.4220e-06,0.568
-9.4200e-06,0.576
-9.4180e-06,0.576
-9.4160e-06,0.584
-9.4140e-06,0.584
-9.4120e-06,0.584
-9.4100e-06,0.592
-9.4080e-06,0.592
-9.4060e-06,0.592
-9.4040e-06,0.6
-9.4020e-06,0.592
-9.4000e-06,0.592
-9.3980e-06,0.608
-9.3960e-06,0.608
-9.3940e-06,0.6
-9.3920e-06,0.6
-9.3900e-06,0.6
-9.3880e-06,0.608
-9.3860e-06,0.608
-9.3840e-06,0.608
-9.3820e-06,0.6
-9.3800e-06,0.608
-9.3780e-06,0.6
-9.3760e-06,0.6
-9.3740e-06,0.6
-9.3720e-06,0.6
-9.3700e-06,0.6
-9.3680e-06,0.6
-9.3660e-06,0.6
-9.3640e-06,0.6
-9.3620e-06,0.6
-9.3600e-06,0.592
-9.3580e-06,0.592
-9.3560e-06,0.6
-9.3540e-06,0.592
-9.3520e-06,0.584
-9.3500e-06,0.584
-9.3480e-06,0.584
-9.3460e-06,0.576
-9.3440e-06,0.576
-9.3420e-06,0.576
-9.3400e-06,0.568
-9.3380e-06,0.568
-9.3360e-06,0.568
-9.3340e-06,0.56
-9.3320e-06,0.552
-9.3300e-06,0.56
-9.3280e-06,0.544
-9.3260e-06,0.536
-9.3240e-06,0.544
-9.3220e-06,0.536
-9.3200e-06,0.536
-9.3180e-06,0.528
-9.3160e-06,0.52
-9.3140e-06,0.512
-9.3120e-06,0.512
-9.3100e-06,0.512
-9.3080e-06,0.496
-9.3060e-06,0.504
-9.3040e-06,0.496
-9.3020e-06,0.488
-9.3000e-06,0.48
-9.2980e-06,0.472
-9.2960e-06,0.472
-9.2940e-06,0.464
-9.2920e-06,0.456
-9.2900e-06,0.456
-9.2880e-06,0.44
-9.2860e-06,0.432
-9.2840e-06,0.432
-9.2820e-06,0.424
-9.2800e-06,0.416
-9.2780e-06,0.408
-9.2760e-06,0.4
-9.2740e-06,0.392
-9.2720e-06,0.384
-9.2700e-06,0.368
-9.2680e-06,0.36
-9.2660e-06,0.352
-9.2640e-06,0.352
-9.2620e-06,0.344
-9.2600e-06,0.336
-9.2580e-06,0.328
-9.2560e-06,0.32
-9.2540e-06,0.312
-9.2520e-06,0.304
-9.2500e-06,0.296
-9.2480e-06,0.296
-9.2460e-06,0.288
-9.2440e-06,0.28
-9.2420e-06,0.28
-9.2400e-06,0.264
-9.2380e-06,0.256
-9.2360e-06,0.248
-9.2340e-06,0.24
-9.2320e-06,0.24
-9.2300e-06,0.232
-9.2280e-06,0.216
-9.2260e-06,0.216
-9.2240e-06,0.208
-9.2220e-06,0.2
-9.2200e-06,0.192
-9.2180e-06,0.192
-9.2160e-06,0.176
-9.2140e-06,0.176
-9.2120e-06,0.168
-9.2100e-06,0.168
-9.2080e-06,0.16
-9.2060e-06,0.16
-9.2040e-06,0.144
-9.2020e-06,0.136
-9.2000e-06,0.136
-9.1980e-06,0.136
-9.1960e-06,0.12
-9.1940e-06,0.12
-9.1920e-06,0.12
-9.1900e-06,0.112
-9.1880e-06,0.096
-9.1860e-06,0.104
-9.1840e-06,0.096
-9.1820e-06,0.08
-9.1800e-06,0.088
-9.1780e-06,0.08
-9.1760e-06,0.08
-9.1740e-06,0.072
-9.1720e-06,0.064
-9.1700e-06,0.064
-9.1680e-06,0.056
-9.1660e-06,0.056
-9.1640e-06,0.048
-9.1620e-06,0.048
-9.1600e-06,0.04
-9.1580e-06,0.04
-9.1560e-06,0.032
-9.1540e-06,0.04
-9.1520e-06,0.032
-9.1500e-06,0.032
-9.1480e-06,0.024
-9.1460e-06,0.024
-9.1440e-06,0.016
-9.1420e-06,0.024
-9.1400e-06,0.024
-9.1380e-06,0.024
-9.1360e-06,0.016
-9.1340e-06,0.024
-9.1320e-06,0.024
-9.1300e-06,0.024
-9.1280e-06,0.032
-9.1260e-06,0.024
-9.1240e-06,0.024
-9.1220e-06,0.024
-9.1200e-06,0.024
-9.1180e-06,0.032
-9.1160e-06,0.024
-9.1140e-06,0.032
-9.1120e-06,0.032
-9.1100e-06,0.048
-9.1080e-06,0.032
-9.1060e-06,0.04
-9.1040e-06,0.04
-9.1020e-06,0.04
-9.1000e-06,0.048
-9.0980e-06,0.048
-9.0960e-06,0.056
-9.0940e-06,0.056
-9.0920e-06,0.064
-9.0900e-06,0.056
-9.0880e-06,0.064
-9.0860e-06,0.072
-9.0840e-06,0.08
-9.0820e-06,0.08
-9.0800e-06,0.08
-9.0780e-06,0.088
-9.0760e-06,0.096
-9.0740e-06,0.096
-9.0720e-06,0.096
-9.0700e-06,0.096
-9.0680e-06,0.112
-9.0660e-06,0.12
-9.0640e-06,0.12
-9.0620e-06,0.136
-9.0600e-06,0.128
-9.0580e-06,0.144
-9.0560e-06,0.152
-9.0540e-06,0.152
-9.0520e-06,0.16
-9.0500e-06,0.16
-9.0480e-06,0.176
-9.0460e-06,0.184
-9.0440e-06,0.184
-9.0420e-06,0.2
-9.0400e-06,0.2
-9.0380e-06,0.216
-9.0360e-06,0.216
-9.0340e-06,0.224
-9.0320e-06,0.232
-9.0300e-06,0.248
-9.0280e-06,0.24
-9.0260e-06,0.256
-9.0240e-06,0.264
-9.0220e-06,0.272
-9.0200e-06,0.272
-9.0180e-06,0.288
-9.0160e-06,0.296
-9.0140e-06,0.312
-9.0120e-06,0.312
-9.0100e-06,0.312
-9.0080e-06,0.328
-9.0060e-06,0.336
-9.0040e-06,0.336
-9.0020e-06,0.352
-9.0000e-06,0.352
-8.9980e-06,0.36
-8.9960e-06,0.368
-8.9940e-06,0.376
-8.9920e-06,0.384
-8.9900e-06,0.384
-8.9880e-06,0.4
-8.9860e-06,0.4
-8.9840e-06,0.408
-8.9820e-06,0.416
-8.9800e-06,0.424
-8.9780e-06,0.432
-8.9760e-06,0.432
-8.9740e-06,0.448
-8.9720e-06,0.44
-8.9700e-06,0.456
-8.9680e-06,0.456
-8.9660e-06,0.464
-8.9640e-06,0.472
-8.9620e-06,0.48
-8.9600e-06,0.48
-8.9580e-06,0.488
-8.9560e-06,0.488
-8.9540e-06,0.504
-8.9520e-06,0.504
-8.9500e-06,0.504
-8.9480e-06,0.52
-8.9460e-06,0.512
-8.9440e-06,0.52
-8.9420e-06,0.528
-8.9400e-06,0.536
-8.9380e-06,0.536
-8.9360e-06,0.536
-8.9340e-06,0.552
-8.9320e-06,0.544
-8.9300e-06,0.552
-8.9280e-06,0.552
-8.9260e-06,0.56
-8.9240e-06,0.568
-8.9220e-06,0.576
-8.9200e-06,0.576
-8.9180e-06,0.576
-8.9160e-06,0.584
-8.9140e-06,0.584
-8.9120e-06,0.592
-8.9100e-06,0.592
-8.9080e-06,0.592
-8.9060e-06,0.6
-8.9040e-06,0.6
-8.9020e-06,0.6
-8.9000e-06,0.6
-8.8980e-06,0.608
-8.8960e-06,0.616
-8.8940e-06,0.608
-8.8920e-06,0.608
-8.8900e-06,0.608
-8.8880e-06,0.608
-8.8860e-06,0.616
-8.8840e-06,0.616
-8.8820e-06,0.608
-8.8800e-06,0.608
-8.8780e-06,0.608
-8.8760e-06,0.608
-8.8740e-06,0.608
-8.8720e-06,0.608
-8.8700e-06,0.6
-8.8680e-06,0.6
-8.8660e-06,0.608
-8.8640e-06,0.608
-8.8620e-06,0.6
-8.8600e-06,0.592
-8.8580e-06,0.592
-8.8560e-06,0.6
-8.8540e-06,0.592
-8.8520e-06,0.584
-8.8500e-06,0.576
-8.8480e-06,0.584
-8.8460e-06,0.576
-8.8440e-06,0.576
-8.8420e-06,0.568
-8.8400e-06,0.56
-8.8380e-06,0.56
-8.8360e-06,0.56
-8.8340e-06,0.56
-8.8320e-06,0.544
-8.8300e-06,0.552
-8.8280e-06,0.544
-8.8260e-06,0.544
-8.8240e-06,0.536
-8.8220e-06,0.528
-8.8200e-06,0.528
-8.8180e-06,0.52
-8.8160e-06,0.512
-8.8140e-06,0.52
-8.8120e-06,0.512
-8.8100e-06,0.504
-8.8080e-06,0.496
-8.8060e-06,0.496
-8.8040e-06,0.488
-8.8020e-06,0.48
-8.8000e-06,0.48
-8.7980e-06,0.472
-8.7960e-06,0.464
-8.7940e-06,0.456
-8.7920e-06,0.456
-8.7900e-06,0.44
-8.7880e-06,0.44
-8.7860e-06,0.432
-8.7840e-06,0.424
-8.7820e-06,0.416
-8.7800e-06,0.408
-8.7780e-06,0.408
-8.7760e-06,0.392
-8.7740e-06,0.392
-8.7720e-06,0.384
-8.7700e-06,0.376
-8.7680e-06,0.368
-8.7660e-06,0.368
-8.7640e-06,0.352
-8.7620e-06,0.344
-8.7600e-06,0.336
-8.7580e-06,0.328
-8.7560e-06,0.32
-8.7540e-06,0.312
-8.7520e-06,0.312
-8.7500e-06,0.304
-8.7480e-06,0.288
-8.7460e-06,0.28
-8.7440e-06,0.272
-8.7420e-06,0.272
-8.7400e-06,0.264
-8.7380e-06,0.256
-8.7360e-06,0.248
-8.7340e-06,0.248
-8.7320e-06,0.24
-8.7300e-06,0.232
-8.7280e-06,0.216
-8.7260e-06,0.216
-8.7240e-06,0.208
-8.7220e-06,0.2
-8.7200e-06,0.192
-8.7180e-06,0.184
-8.7160e-06,0.184
-8.7140e-06,0.176
-8.7120e-06,0.176
-8.7100e-06,0.168
-8.7080e-06,0.168
-8.7060e-06,0.152
-8.7040e-06,0.152
-8.7020e-06,0.136
-8.7000e-06,0.136
-8.6980e-06,0.128
-8.6960e-06,0.12
-8.6940e-06,0.12
-8.6920e-06,0.112
-8.6900e-06,0.112
-8.6880e-06,0.096
-8.6860e-06,0.096
-8.6840e-06,0.088
-8.6820e-06,0.088
-8.6800e-06,0.088
-8.6780e-06,0.072
-8.6760e-06,0.08
-8.6740e-06,0.072
-8.6720e-06,0.072
-8.6700e-06,0.064
-8.6680e-06,0.056
-8.6660e-06,0.048
-8.6640e-06,0.056
-8.6620e-06,0.048
-8.6600e-06,0.04
-8.6580e-06,0.048
-8.6560e-06,0.04
-8.6540e-06,0.04
-8.6520e-06,0.032
-8.6500e-06,0.032
-8.6480e-06,0.032
-8.6460e-06,0.024
-8.6440e-06,0.032
-8.6420e-06,0.024
-8.6400e-06,0.024
-8.6380e-06,0.024
-8.6360e-06,0.024
-8.6340e-06,0.024
-8.6320e-06,0.024
-8.6300e-06,0.024
-8.6280e-06,0.024
-8.6260e-06,0.032
-8.6240e-06,0.024
-8.6220e-06,0.032
-8.6200e-06,0.024
-8.6180e-06,0.032
-8.6160e-06,0.032
-8.6140e-06,0.032
-8.6120e-06,0.032
-8.6100e-06,0.032
-8.6080e-06,0.048
-8.6060e-06,0.04
-8.6040e-06,0.048
-8.6020e-06,0.048
-8.6000e-06,0.048
-8.5980e-06,0.056
-8.5960e-06,0.064
-8.5940e-06,0.056
-8.5920e-06,0.064
-8.5900e-06,0.072
-8.5880e-06,0.072
-8.5860e-06,0.072
-8.5840e-06,0.072
-8.5820e-06,0.088
-8.5800e-06,0.088
-8.5780e-06,0.088
-8.5760e-06,0.096
-8.5740e-06,0.104
-8.5720e-06,0.104
-8.5700e-06,0.12
-8.5680e-06,0.12
-8.5660e-06,0.12
-8.5640e-06,0.128
-8.5620e-06,0.136
-8.5600e-06,0.136
-8.5580e-06,0.144
-8.5560e-06,0.152
-8.5540e-06,0.152
-8.5520e-06,0.16
-8.5500e-06,0.168
-8.5480e-06,0.168
-8.5460e-06,0.184
-8.5440e-06,0.184
-8.5420e-06,0.192
-8.5400e-06,0.2
-8.5380e-06,0.216
-8.5360e-06,0.216
-8.5340e-06,0.232
-8.5320e-06,0.232
-8.5300e-06,0.24
-8.5280e-06,0.256
-8.5260e-06,0.256
-8.5240e-06,0.256
-8.5220e-06,0.272
-8.5200e-06,0.28
-8.5180e-06,0.28
-8.5160e-06,0.296
-8.5140e-06,0.304
-8.5120e-06,0.32
-8.5100e-06,0.32
-8.5080e-06,0.328
-8.5060e-06,0.336
-8.5040e-06,0.344
-8.5020e-06,0.352
-8.5000e-06,0.36
-8.4980e-06,0.368
-8.4960e-06,0.368
-8.4940e-06,0.376
-8.4920e-06,0.384
-8.4900e-06,0.392
-8.4880e-06,0.392
-8.4860e-06,0.4
-8.4840e-06,0.416
-8.4820e-06,0.416
-8.4800e-06,0.424
-8.4780e-06,0.432
-8.4760e-06,0.432
-8.4740e-06,0.44
-8.4720e-06,0.448
-8.4700e-06,0.448
-8.4680e-06,0.456
-8.4660e-06,0.464
-8.4640e-06,0.464
-8.4620e-06,0.472
-8.4600e-06,0.48
-8.4580e-06,0.488
-8.4560e-06,0.488
-8.4540e-06,0.496
-8.4520e-06,0.504
-8.4500e-06,0.504
-8.4480e-06,0.512
-8.4460e-06,0.512
-8.4440e-06,0.52
-8.4420e-06,0.52
-8.4400e-06,0.528
-8.4380e-06,0.536
-8.4360e-06,0.544
-8.4340e-06,0.544
-8.4320e-06,0.544
-8.4300e-06,0.552
-8.4280e-06,0.56
-8.4260e-06,0.568
-8.4240e-06,0.568
-8.4220e-06,0.568
-8.4200e-06,0.568
-8.4180e-06,0.584
-8.4160e-06,0.584
-8.4140e-06,0.576
-8.4120e-06,0.592
-8.4100e-06,0.592
-8.4080e-06,0.592
-8.4060e-06,0.592
-8.4040e-06,0.6
-8.4020e-06,0.6
-8.4000e-06,0.608
-8.3980e-06,0.6
-8.3960e-06,0.608
-8.3940e-06,0.608
-8.3920e-06,0.608
-8.3900e-06,0.616
-8.3880e-06,0.616
-8.3860e-06,0.616
-8.3840e-06,0.616
-8.3820e-06,0.608
-8.3800e-06,0.616
-8.3780e-06,0.616
-8.3760e-06,0.616
-8.3740e-06,0.616
-8.3720e-06,0.616
-8.3700e-06,0.608
-8.3680e-06,0.608
-8.3660e-06,0.616
-8.3640e-06,0.608
-8.3620e-06,0.608
-8.3600e-06,0.6
-8.3580e-06,0.6
-8.3560e-06,0.592
-8.3540e-06,0.6
-8.3520e-06,0.592
-8.3500e-06,0.592
-8.3480e-06,0.592
-8.3460e-06,0.584
-8.3440e-06,0.584
-8.3420e-06,0.576
-8.3400e-06,0.576
-8.3380e-06,0.576
-8.3360e-06,0.568
-8.3340e-06,0.568
-8.3320e-06,0.56
-8.3300e-06,0.552
-8.3280e-06,0.56
-8.3260e-06,0.552
-8.3240e-06,0.544
-8.3220e-06,0.536
-8.3200e-06,0.536
-8.3180e-06,0.536
-8.3160e-06,0.52
-8.3140e-06,0.52
-8.3120e-06,0.512
-8.3100e-06,0.504
-8.3080e-06,0.504
-8.3060e-06,0.504
-8.3040e-06,0.496
-8.3020e-06,0.496
-8.3000e-06,0.48
-8.2980e-06,0.472
-8.2960e-06,0.472
-8.2940e-06,0.464
-8.2920e-06,0.448
-8.2900e-06,0.448
-8.2880e-06,0.44
-8.2860e-06,0.432
-8.2840e-06,0.424
-8.2820e-06,0.424
-8.2800e-06,0.408
-8.2780e-06,0.408
-8.2760e-06,0.384
-8.2740e-06,0.384
-8.2720e-06,0.384
-8.2700e-06,0.368
-8.2680e-06,0.36
-8.2660e-06,0.352
-8.2640e-06,0.352
-8.2620e-06,0.344
-8.2600e-06,0.328
-8.2580e-06,0.32
-8.2560e-06,0.312
-8.2540e-06,0.304
-8.2520e-06,0.304
-8.2500e-06,0.288
-8.2480e-06,0.28
-8.2460e-06,0.272
-8.2440e-06,0.272
-8.2420e-06,0.264
-8.2400e-06,0.248
-8.2380e-06,0.24
-8.2360e-06,0.248
-8.2340e-06,0.232
-8.2320e-06,0.232
-8.2300e-06,0.216
-8.2280e-06,0.208
-8.2260e-06,0.208
-8.2240e-06,0.2
-8.2220e-06,0.192
-8.2200e-06,0.184
-8.2180e-06,0.192
-8.2160e-06,0.184
-8.2140e-06,0.168
-8.2120e-06,0.16
-8.2100e-06,0.16
-8.2080e-06,0.16
-8.2060e-06,0.144
-8.2040e-06,0.136
-8.2020e-06,0.136
-8.2000e-06,0.12
-8.1980e-06,0.128
-8.1960e-06,0.128
-8.1940e-06,0.12
-8.1920e-06,0.12
-8.1900e-06,0.112
-8.1880e-06,0.104
-8.1860e-06,0.104
-8.1840e-06,0.104
-8.1820e-06,0.096
-8.1800e-06,0.088
-8.1780e-06,0.088
-8.1760e-06,0.088
-8.1740e-06,0.08
-8.1720e-06,0.08
-8.1700e-06,0.072
-8.1680e-06,0.072
-8.1660e-06,0.064
-8.1640e-06,0.064
-8.1620e-06,0.056
-8.1600e-06,0.048
-8.1580e-06,0.056
-8.1560e-06,0.048
-8.1540e-06,0.048
-8.1520e-06,0.04
-8.1500e-06,0.04
-8.1480e-06,0.04
-8.1460e-06,0.04
-8.1440e-06,0.024
-8.1420e-06,0.032
-8.1400e-06,0.032
-8.1380e-06,0.032
-8.1360e-06,0.032
-8.1340e-06,0.024
-8.1320e-06,0.032
-8.1300e-06,0.024
-8.1280e-06,0.024
-8.1260e-06,0.032
-8.1240e-06,0.032
-8.1220e-06,0.032
-8.1200e-06,0.032
-8.1180e-06,0.032
-8.1160e-06,0.032
-8.1140e-06,0.04
-8.1120e-06,0.04
-8.1100e-06,0.04
-8.1080e-06,0.04
-8.1060e-06,0.048
-8.1040e-06,0.04
-8.1020e-06,0.048
-8.1000e-06,0.056
-8.0980e-06,0.048
-8.0960e-06,0.056
-8.0940e-06,0.056
-8.0920e-06,0.064
-8.0900e-06,0.064
-8.0880e-06,0.072
-8.0860e-06,0.072
-8.0840e-06,0.072
-8.0820e-06,0.08
-8.0800e-06,0.08
-8.0780e-06,0.088
-8.0760e-06,0.096
-8.0740e-06,0.096
-8.0720e-06,0.104
-8.0700e-06,0.112
-8.0680e-06,0.112
-8.0660e-06,0.12
-8.0640e-06,0.12
-8.0620e-06,0.128
-8.0600e-06,0.128
-8.0580e-06,0.144
-8.0560e-06,0.144
-8.0540e-06,0.152
-8.0520e-06,0.16
-8.0500e-06,0.168
-8.0480e-06,0.176
-8.0460e-06,0.176
-8.0440e-06,0.184
-8.0420e-06,0.184
-8.0400e-06,0.192
-8.0380e-06,0.208
-8.0360e-06,0.216
-8.0340e-06,0.216
-8.0320e-06,0.224
-8.0300e-06,0.232
-8.0280e-06,0.24
-8.0260e-06,0.24
-8.0240e-06,0.256
-8.0220e-06,0.256
-8.0200e-06,0.264
-8.0180e-06,0.28
-8.0160e-06,0.288
-8.0140e-06,0.296
-8.0120e-06,0.304
-8.0100e-06,0.312
-8.0080e-06,0.32
-8.0060e-06,0.32
-8.0040e-06,0.328
-8.0020e-06,0.344
-8.0000e-06,0.352
-7.9980e-06,0.36
-7.9960e-06,0.368
-7.9940e-06,0.376
-7.9920e-06,0.384
-7.9900e-06,0.384
-7.9880e-06,0.4
-7.9860e-06,0.408
-7.9840e-06,0.408
-7.9820e-06,0.416
-7.9800e-06,0.416
-7.9780e-06,0.432
-7.9760e-06,0.432
-7.9740e-06,0.448
-7.9720e-06,0.448
-7.9700e-06,0.456
-7.9680e-06,0.464
-7.9660e-06,0.472
-7.9640e-06,0.472
-7.9620e-06,0.48
-7.9600e-06,0.488
-7.9580e-06,0.496
-7.9560e-06,0.496
-7.9540e-06,0.504
-7.9520e-06,0.504
-7.9500e-06,0.512
-7.9480e-06,0.52
-7.9460e-06,0.52
-7.9440e-06,0.528
-7.9420e-06,0.528
-7.9400e-06,0.536
-7.9380e-06,0.544
-7.9360e-06,0.544
-7.9340e-06,0.552
-7.9320e-06,0.56
-7.9300e-06,0.552
-7.9280e-06,0.56
-7.9260e-06,0.56
-7.9240e-06,0.576
-7.9220e-06,0.576
-7.9200e-06,0.568
-7.9180e-06,0.576
-7.9160e-06,0.576
-7.9140e-06,0.584
-7.9120e-06,0.584
-7.9100e-06,0.584
-7.9080e-06,0.592
-7.9060e-06,0.592
-7.9040e-06,0.592
